Date,SPY
2014-01-07,183.32749557495117
2014-01-08,183.42250061035156
2014-01-09,183.67000198364258
2014-01-10,183.82999801635742
2014-01-13,182.71999740600586
2014-01-14,182.9199981689453
2014-01-15,184.3525047302246
2014-01-16,184.29750061035156
2014-01-17,183.87750244140625
2014-01-21,184.17499923706055
2014-01-22,184.3175048828125
2014-01-23,182.84499740600586
2014-01-24,180.24500274658203
2014-01-27,178.42749786376953
2014-01-28,178.65750122070312
2014-01-29,177.59000396728516
2014-01-30,179.03249740600586
2014-01-31,177.84999465942383
2014-02-03,176.08499908447266
2014-02-04,175.0724983215332
2014-02-05,174.80500030517578
2014-02-06,176.43999862670898
2014-02-07,178.8974952697754
2014-02-10,179.74750137329102
2014-02-11,181.15499877929688
2014-02-12,182.21500396728516
2014-02-13,181.96999740600586
2014-02-14,183.4724998474121
2014-02-18,184.13999938964847
2014-02-19,183.64999771118164
2014-02-20,183.62250518798825
2014-02-21,184.25749969482422
2014-02-24,184.8849983215332
2014-02-25,184.92999649047852
2014-02-26,184.97250366210938
2014-02-27,185.1599998474121
2014-02-28,186.06999588012695
2014-03-03,184.7074966430664
2014-03-04,187.27499771118164
2014-03-05,187.75250244140625
2014-03-06,188.19499969482422
2014-03-07,188.4025001525879
2014-03-10,187.86000061035156
2014-03-11,187.79500198364258
2014-03-12,186.7125015258789
2014-03-13,186.41749954223633
2014-03-14,184.93750381469727
2014-03-17,186.04999923706055
2014-03-18,187.19750213623047
2014-03-19,186.9375
2014-03-20,186.95249938964844
2014-03-21,187.2400016784668
2014-03-24,185.98999786376953
2014-03-25,186.2224998474121
2014-03-26,186.06749725341797
2014-03-27,184.64249801635742
2014-03-28,185.50500106811523
2014-03-31,186.625
2014-04-01,187.80749893188477
2014-04-02,188.66000366210938
2014-04-03,188.7675018310547
2014-04-04,187.9650001525879
2014-04-07,185.12749862670898
2014-04-08,184.58749771118164
2014-04-09,186.2249984741211
2014-04-10,185.08499908447266
2014-04-11,182.09499740600586
2014-04-14,182.6699981689453
2014-04-15,183.3400001525879
2014-04-16,185.5974998474121
2014-04-17,186.18500137329102
2014-04-21,186.69750213623047
2014-04-22,187.6624984741211
2014-04-23,187.62250137329102
2014-04-24,187.87999725341797
2014-04-25,186.67749786376953
2014-04-28,186.64500427246094
2014-04-29,187.58749771118164
2014-04-30,187.8574981689453
2014-05-01,188.27999877929688
2014-05-02,188.3224983215332
2014-05-05,187.68249893188477
2014-05-06,187.41250228881836
2014-05-07,187.31750106811523
2014-05-08,187.88000106811523
2014-05-09,187.63500213623047
2014-05-12,189.11750030517578
2014-05-13,190.04750061035156
2014-05-14,189.37999725341797
2014-05-15,187.81999588012695
2014-05-16,187.60250091552734
2014-05-19,188.21000289916992
2014-05-20,187.98500061035156
2014-05-21,188.625
2014-05-22,189.40249633789062
2014-05-23,190.0449981689453
2014-05-27,191.2775001525879
2014-05-28,191.44500350952148
2014-05-29,191.97999954223633
2014-05-30,192.42499923706055
2014-06-02,192.70249938964844
2014-06-03,192.59499740600586
2014-06-04,192.80750274658203
2014-06-05,193.80249786376953
2014-06-06,195.11499786376953
2014-06-09,195.53750228881836
2014-06-10,195.375
2014-06-11,194.85499572753906
2014-06-12,194.0349998474121
2014-06-13,193.9175033569336
2014-06-16,194.1349983215332
2014-06-17,194.40750122070312
2014-06-18,195.46499633789062
2014-06-19,196.32749938964844
2014-06-20,195.94250106811523
2014-06-23,195.86000442504883
2014-06-24,195.30249786376953
2014-06-25,194.9749984741211
2014-06-26,195.2025032043457
2014-06-27,195.3925018310547
2014-06-30,195.77999877929688
2014-07-01,196.74750137329102
2014-07-02,197.18000030517578
2014-07-03,197.97999572753906
2014-07-07,197.63249969482422
2014-07-08,196.5924987792969
2014-07-09,196.86499786376953
2014-07-10,195.86999893188477
2014-07-11,196.3400001525879
2014-07-14,197.62750244140625
2014-07-15,197.35250091552734
2014-07-16,197.9375
2014-07-17,196.64750289916992
2014-07-18,197.05250549316406
2014-07-21,197.08999633789062
2014-07-22,198.15999603271484
2014-07-23,198.52250289916992
2014-07-24,198.74749755859375
2014-07-25,197.8499984741211
2014-07-28,197.56749725341797
2014-07-29,197.62249755859375
2014-07-30,197.17499923706055
2014-07-31,194.36249923706055
2014-08-01,192.5974998474121
2014-08-04,193.2775001525879
2014-08-05,192.50500106811523
2014-08-06,191.78750228881836
2014-08-07,191.91250228881836
2014-08-08,192.25500106811523
2014-08-11,194.03500366210938
2014-08-12,193.55749893188477
2014-08-13,194.5374984741211
2014-08-14,195.41499710083008
2014-08-15,195.7874984741211
2014-08-18,197.07500076293945
2014-08-19,198.05249786376953
2014-08-20,198.56999969482422
2014-08-21,199.31999588012695
2014-08-22,199.2400016784668
2014-08-25,200.0199966430664
2014-08-26,200.44000244140625
2014-08-27,200.29750061035156
2014-08-28,199.8474998474121
2014-08-29,200.4275016784668
2014-09-02,200.61000061035156
2014-09-03,200.87750244140625
2014-09-04,200.57250213623047
2014-09-05,200.47000122070312
2014-09-08,200.68000030517578
2014-09-09,199.79750442504883
2014-09-10,199.61750030517578
2014-09-11,199.75500106811523
2014-09-12,199.47750091552734
2014-09-15,198.96000289916992
2014-09-16,199.6074981689453
2014-09-17,200.73749923706055
2014-09-18,201.5325050354004
2014-09-19,201.10249710083008
2014-09-22,199.6525001525879
2014-09-23,198.41249465942383
2014-09-24,198.70249938964844
2014-09-25,197.67499923706055
2014-09-26,197.35249710083008
2014-09-29,196.9199981689453
2014-09-30,197.40500259399414
2014-10-01,195.432502746582
2014-10-02,193.99250030517578
2014-10-03,196.05500030517578
2014-10-06,196.70249938964844
2014-10-07,194.36999893188477
2014-10-08,194.8224983215332
2014-10-09,194.56250381469727
2014-10-10,191.84249877929688
2014-10-13,189.0800018310547
2014-10-14,188.24499893188477
2014-10-15,185.29999923706055
2014-10-16,184.95000076293945
2014-10-17,188.56499862670898
2014-10-20,189.2375030517578
2014-10-21,192.8574981689453
2014-10-22,193.65500259399414
2014-10-23,195.00249481201172
2014-10-24,195.66500091552734
2014-10-27,195.84249877929688
2014-10-28,197.59500122070312
2014-10-29,198.14500045776367
2014-10-30,198.57749938964844
