,ARE,AMT,AVB,BXP,CPT,CBRE,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,INVH,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,UDR,VTR,VICI,WELL,WY
2000-02-15,29.734375,45.71875,34.140625,30.171875,26.34375,0.0,36.109375,0.0,0.0,20.0390625,34.4375,0.0,18.03125,11.106842041015625,8.963534116744995,0.0,8.416341781616211,11.270833253860474,22.390625,20.546875,22.5625,10.265261888504028,18.53125,34.703125,21.709846019744873,10.015625,3.6042594909667964,0.0,15.078125,52.75
2000-02-16,29.21875,45.90625,34.109375,30.09375,26.453125,0.0,35.015625,0.0,0.0,19.953125,34.21875,0.0,17.96875,10.992998600006104,9.009422302246094,0.0,8.493359088897705,11.322916746139526,22.390625,20.609375,22.5625,10.250121831893921,18.9375,34.203125,21.434303760528564,9.9375,3.6756309270858765,0.0,15.328125,52.96875
2000-02-17,29.28125,45.1875,34.125,30.40625,26.515625,0.0,34.171875,0.0,0.0,19.890625,34.3125,0.0,18.0,11.206454515457153,9.162383556365967,0.0,8.865612506866455,11.406249761581423,22.421875,20.515625,22.671875,10.310683488845825,18.921875,32.515625,21.52131748199463,9.875,3.78268826007843,0.0,15.25,53.546875
2000-02-18,29.890625,43.53125,34.171875,30.171875,26.546875,0.0,33.34375,0.0,0.0,19.8359375,34.4375,0.0,18.171875,11.256261110305786,9.131791591644287,0.0,9.05387806892395,11.416666507720947,22.421875,20.484375,22.6875,10.32582402229309,18.890625,29.7734375,21.50681495666504,9.890625,3.818373918533325,0.0,15.3125,49.953125
2000-02-22,29.71875,41.921875,34.09375,30.015625,26.515625,0.0,33.375,0.0,0.0,19.8203125,34.671875,0.0,18.296875,11.313183546066284,8.917645692825317,0.0,8.818545818328857,11.244791746139526,22.171875,20.40625,22.40625,10.21984052658081,19.125,30.125,21.550321578979492,9.734375,3.8005309104919434,0.0,15.46875,50.109375
2000-02-23,29.71875,42.5625,34.015625,30.234375,26.515625,0.0,32.828125,0.0,0.0,19.90625,34.84375,0.0,18.453125,11.085496187210083,8.887053489685059,0.0,8.510474562644958,11.218749761581423,22.265625,20.546875,22.265625,10.287972688674927,18.890625,30.671875,21.448805809020996,9.84375,3.7826879024505615,0.0,15.484375,50.828125
2000-02-24,29.671875,43.703125,33.90625,30.421875,26.5,0.0,32.21875,0.0,0.0,19.8359375,34.703125,0.0,18.328125,10.964537620544434,8.84116530418396,0.0,8.437735080718994,11.218749761581423,22.296875,20.40625,22.171875,10.227410554885864,18.921875,32.96875,21.593828201293945,9.859375,3.7826882004737854,0.0,15.25,49.34375
2000-02-25,29.53125,42.734375,33.9375,30.5,26.421875,0.0,33.1875,0.0,0.0,19.7734375,34.4375,0.0,18.34375,11.014343976974487,8.734091997146606,0.0,8.07831871509552,11.083333492279053,22.21875,20.21875,22.078125,10.21984076499939,18.84375,35.140625,21.68084192276001,9.859375,3.818374276161194,0.0,15.15625,49.390625
2000-02-28,29.59375,43.625,33.84375,30.421875,26.296875,0.0,32.265625,0.0,0.0,19.6953125,34.34375,0.0,18.53125,11.163763046264648,8.67290735244751,0.0,7.937119245529175,11.046875,22.34375,20.125,21.96875,10.076005935668945,19.046875,36.0625,21.79685926437378,9.953125,3.8897454738616943,0.0,15.203125,50.0
2000-02-29,30.40625,48.0,33.53125,30.421875,26.515625,0.0,31.96875,0.0,0.0,19.7734375,34.84375,0.0,18.96875,11.270491600036621,8.688203811645508,0.0,8.215239405632019,11.25,22.578125,20.15625,21.984375,10.091146469116211,18.9765625,38.796875,21.68084192276001,9.9375,3.925431191921234,0.0,15.296875,50.125
