,ADM,MO,BF.B,BG,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,DG,DLTR,EL,GIS,HSY,HRL,K,KDP,KMB,KHC,KR,LW,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SJM,SYY,TGT,TSN,WBA,WMT
2006-07-20,41.054999351501465,78.59000015258789,0.0,51.21250057220459,36.390000343322754,9.04437518119812,60.07000160217285,21.908750534057617,31.106250286102295,17.145914554595947,25.230000019073486,53.582499504089355,0.0,8.487499713897705,18.577500343322754,26.258750438690186,55.78750038146973,9.290000200271606,48.9950008392334,0.0,57.95541763305664,0.0,11.286249876022339,0.0,17.40000009536743,35.28874969482422,30.34250020980835,7.824582934379578,62.760000228881836,0.0,56.54750061035156,46.9350004196167,29.80500030517578,46.197500228881836,14.667500019073486,47.322500228881836,44.35000038146973
2006-07-21,39.804999351501465,79.35499954223633,0.0,50.417500495910645,36.09249973297119,9.028124809265137,59.22749996185303,22.038750171661377,31.262499809265137,17.062256813049316,25.00499963760376,52.86999988555908,0.0,8.389999866485596,18.304999828338623,26.0649995803833,55.94999980926514,9.198125123977661,48.7524995803833,0.0,57.15484142303467,0.0,11.5,0.0,17.41374969482422,35.261250495910645,30.05999994277954,7.298332691192627,62.66250038146973,0.0,56.45499897003174,46.204999923706055,29.42249965667725,46.1899995803833,14.572500228881836,46.98750019073486,44.07499980926514
2006-07-24,39.59749984741211,79.44499969482422,0.0,50.27000045776367,36.15499973297119,9.087499856948853,59.04249954223633,21.987499713897705,31.05875062942505,16.988327026367188,24.8774995803833,53.109999656677246,0.0,8.555833578109741,18.290000438690186,25.828750133514404,55.89999961853027,9.367500066757202,48.964999198913574,0.0,57.12368202209473,0.0,11.552500009536743,0.0,17.397500038146973,35.15500068664551,30.259999752044678,7.423749685287476,63.047499656677246,0.0,56.597500801086426,45.63499927520752,29.432499885559082,46.23749923706055,14.384999990463257,47.067501068115234,44.34499931335449
2006-07-25,40.90749931335449,79.73750114440918,0.0,51.06750011444092,36.635000228881836,9.131875038146973,59.86750030517578,22.02874994277954,30.426249980926514,17.003890991210938,24.855000019073486,53.5674991607666,0.0,8.6916663646698,18.362499713897705,25.926249980926514,56.132500648498535,9.453749895095825,49.13750076293945,0.0,57.45685577392578,0.0,11.552500009536743,0.0,17.541250228881836,35.083749771118164,31.875000476837158,7.586249470710754,62.98250102996826,0.0,56.73750019073486,46.047499656677246,29.292500019073486,46.334999084472656,14.40250015258789,47.60249900817871,44.404998779296875
2006-07-26,41.847500801086426,80.10499954223633,0.0,51.857500076293945,36.560001373291016,9.119374752044678,59.77500057220459,22.15374994277954,29.822500228881836,16.980545043945312,24.62249994277954,53.54750061035156,0.0,8.68666672706604,18.332499980926514,26.141250610351562,56.10000038146973,9.452500104904175,49.079999923706055,0.0,58.681687355041504,0.0,11.533750057220459,0.0,17.53250026702881,35.551249504089355,32.5024995803833,7.700832962989807,63.32499980926514,0.0,56.60000038146973,45.7475004196167,28.80250072479248,46.07749938964844,14.327499866485596,47.61000061035156,44.05500030517578
2006-07-27,42.64999961853027,80.07749938964844,0.0,54.202500343322754,36.472500801086426,9.118124961853027,59.922499656677246,22.21500015258789,29.607499599456787,16.690661430358887,24.732500076293945,52.390000343322754,0.0,8.645000457763672,18.40625,26.112499713897705,55.797499656677246,9.369999885559082,48.31999969482422,0.0,58.08724880218506,0.0,11.508749961853027,0.0,17.36875009536743,35.52750015258789,32.23750019073486,7.590833067893982,63.14750003814697,0.0,56.670000076293945,45.410000801086426,27.492499828338623,46.1850004196167,14.28250002861023,47.579999923706055,43.74250030517578
2006-07-28,43.03750038146973,80.45500183105469,0.0,54.53999996185303,36.69000053405762,9.118749856948853,60.46000003814697,22.24875020980835,29.72374963760376,16.764591217041016,24.585000038146973,51.6274995803833,0.0,8.716666460037231,18.59500026702881,26.12125062942505,55.77999973297119,9.429374933242798,47.977500915527344,0.0,58.33652877807617,0.0,11.517499923706055,0.0,17.37125062942505,35.1899995803833,32.51250076293945,7.47624945640564,63.045000076293945,0.0,56.892499923706055,45.33500003814697,27.667499542236328,46.41499996185303,14.354999780654907,47.34500026702881,44.135000228881836
2006-07-31,43.6875,80.3025016784668,0.0,54.94000053405762,36.72500038146973,9.106249809265137,60.06500053405762,22.28000020980835,29.736249923706055,16.77042865753174,24.3774995803833,52.36750030517578,0.0,8.84749984741211,18.68875026702881,26.051249980926514,55.40750026702881,9.417500019073486,48.297499656677246,0.0,58.39405632019043,0.0,11.468750238418579,0.0,17.441250324249268,35.4399995803833,32.45500087738037,7.544166207313538,63.25,0.0,56.33500003814697,44.89999961853027,27.742499828338623,46.22749996185303,13.862499952316284,46.827500343322754,44.74250030517578
2006-08-01,44.27750015258789,79.95250129699707,0.0,54.24250030517578,36.670000076293945,9.096874952316284,59.31750011444092,22.21125030517578,29.38124990463257,16.690661430358887,24.34249973297119,52.197500228881836,0.0,8.769999980926514,18.46624994277954,25.948749542236328,54.86249923706055,9.421250104904175,47.917500495910645,0.0,58.29098701477051,0.0,11.369999885559082,0.0,17.613749980926514,34.413750648498535,32.38249969482422,7.592499494552612,63.23749923706055,0.0,55.92500019073486,44.54999923706055,27.422499656677246,45.577500343322754,13.9375,46.480000495910645,44.15250015258789
2006-08-02,43.27750015258789,79.95499992370605,0.0,54.12750053405762,36.834999084472656,9.166874885559082,58.552499771118164,22.160000324249268,29.325000286102295,16.762646198272705,24.672500133514404,52.24749946594238,0.0,8.671666383743286,18.521249771118164,26.018749713897705,53.625,9.42062497138977,48.017499923706055,0.0,58.243048667907715,0.0,11.306249856948853,0.0,17.583749771118164,33.69124984741211,32.52999973297119,7.623332977294922,62.94000053405762,0.0,58.160000801086426,44.38749980926514,27.66249942779541,45.79499912261963,13.865000009536743,47.09749984741211,44.27499961853027
