,APD,ALB,AMCR,AVY,BALL,CE,CF,CTVA,DOW,DD,EMN,ECL,FMC,FCX,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,STLD,VMC,WRK
2000-02-29,23.99398708343506,7.703125,0.0,60.25,1.71875,0.0,0.0,0.0,0.0,51.05238914489746,18.3359375,14.2578125,10.339874505996704,6.9296875,29.84375,33.92666149139404,17.203125,0.0,36.34375,14.140625,22.265625,12.19921875,10.5625,24.4921875,24.328125,6.427083253860474,3.8984375,39.84375,0.0
2000-03-01,23.849445343017578,7.3984375,0.0,59.296875,1.68359375,0.0,0.0,0.0,0.0,50.18508434295654,17.5234375,14.421875,10.577027320861816,6.921875,30.0,33.99962043762207,16.8046875,0.0,36.1875,13.6875,22.34375,12.23046875,11.0,24.265625,25.5,6.479166746139526,3.875,39.90625,0.0
2000-03-02,23.791627883911133,7.3828125,0.0,59.671875,1.6621094942092896,0.0,0.0,0.0,0.0,47.75366497039795,17.21875,14.421875,10.516044855117798,6.8046875,29.671875,33.1240930557251,16.5390625,0.0,37.359375,13.734375,21.78125,12.234375,11.28125,23.7109375,25.6796875,6.411458253860474,3.8671875,39.59375,0.0
2000-03-03,24.09516668319702,7.484375,0.0,62.734375,1.6884767413139343,0.0,0.0,0.0,0.0,50.69657230377197,17.8046875,14.8828125,10.583803176879883,6.7421875,30.015625,34.11635780334473,16.875,0.0,37.25,13.921875,21.6875,12.4296875,11.203125,24.234375,25.6015625,6.520833253860474,3.859375,39.9375,0.0
2000-03-06,23.661540508270264,7.6953125,0.0,60.78125,1.6904297471046448,0.0,0.0,0.0,0.0,50.844828605651855,18.1875,14.7734375,10.566863536834717,6.7578125,29.84375,33.401344299316406,16.96875,0.0,37.265625,13.421875,21.828125,12.171875,10.609375,23.9453125,25.1328125,6.458333492279053,3.6640625,39.859375,0.0
2000-03-07,22.72201681137085,7.69921875,0.0,56.890625,1.6933592557907104,0.0,0.0,0.0,0.0,46.84188365936279,17.546875,14.3671875,10.356813430786133,6.84375,29.5625,31.533554077148438,16.421875,0.0,37.015625,12.96875,23.515625,12.12890625,10.421875,23.421875,24.484375,6.333333253860474,3.4375,38.765625,0.0
2000-03-08,22.375115871429443,7.8984375,0.0,56.265625,1.74609375,0.0,0.0,0.0,0.0,45.944926261901855,17.3984375,14.3359375,10.268728256225586,6.7890625,29.703125,32.35436010360718,16.15625,0.0,37.984375,13.109375,23.734375,11.73828125,10.234375,23.046875,22.9375,6.263020753860474,3.39453125,38.21875,0.0
2000-03-09,22.895467281341553,7.7734375,0.0,58.515625,1.804687738418579,0.0,0.0,0.0,0.0,45.381547927856445,17.4453125,14.859375,10.61090636253357,6.6796875,30.625,32.40908145904541,15.9296875,0.0,38.609375,13.078125,23.78125,11.80078125,10.46875,22.6796875,22.4921875,6.239583492279053,3.37890625,38.859375,0.0
2000-03-10,23.19900608062744,7.83984375,0.0,60.265625,1.785156488418579,0.0,0.0,0.0,0.0,46.11542224884033,17.7109375,15.09375,10.509268999099731,6.6875,30.65625,33.92665958404541,16.4375,0.0,39.28125,12.90625,23.40625,12.01953125,10.3125,23.078125,22.53125,6.359375,3.29296875,38.84375,0.0
2000-03-13,22.664199829101562,7.828125,0.0,59.46875,1.7841797471046448,0.0,0.0,0.0,0.0,46.40452480316162,17.859375,15.0234375,10.411020278930664,6.5390625,30.96875,33.474305152893066,16.609375,0.0,39.46875,12.71875,23.78125,11.71484375,9.859375,22.96875,22.234375,6.291666746139526,3.2421875,38.9375,0.0
2000-03-14,22.85210418701172,7.8984375,0.0,57.96875,1.8232422471046448,0.0,0.0,0.0,0.0,46.76034164428711,17.84375,15.171875,10.526208877563477,6.3671875,30.984375,32.97817325592041,16.875,0.0,38.1875,12.984375,24.03125,11.7890625,9.875,23.078125,22.4921875,6.3125,3.0703125,39.34375,0.0
2000-03-15,24.268617153167725,8.2578125,0.0,60.671875,1.8955079913139343,0.0,0.0,0.0,0.0,48.45047569274902,18.9375,15.8359375,11.031006097793577,6.4921875,32.734375,33.255423069000244,18.0,0.0,40.390625,14.34375,24.046875,12.12109375,9.65625,23.9140625,22.4765625,6.614583253860474,2.9765625,40.03125,0.0
2000-03-16,26.65356206893921,8.96875,0.0,65.875,2.035156488418579,0.0,0.0,0.0,0.0,51.31184005737305,20.3828125,16.9140625,11.793284177780151,6.78125,34.3125,35.9403715133667,19.4609375,0.0,45.640625,15.390625,23.1875,12.74609375,9.828125,25.6796875,23.9765625,7.260416746139526,3.203125,42.484375,0.0
2000-03-17,26.35002326965332,9.3046875,0.0,65.203125,2.0712890028953552,0.0,0.0,0.0,0.0,51.638007164001465,20.1875,17.53125,11.691646814346313,6.734375,35.09375,36.334360122680664,19.0,0.0,46.25,15.171875,22.828125,12.7734375,9.625,25.3125,24.3125,7.401041746139526,3.3125,43.59375,0.0
2000-03-20,25.91639757156372,9.640625,0.0,64.421875,2.0009767413139343,0.0,0.0,0.0,0.0,51.29701519012451,21.609375,17.15625,11.5967857837677,6.828125,34.65625,35.86741065979004,19.09375,0.0,46.78125,15.09375,23.0,12.59765625,9.671875,25.4453125,24.4609375,7.317708492279053,3.31640625,43.515625,0.0
2000-03-21,25.945305347442627,9.7734375,0.0,63.515625,1.9755859971046448,0.0,0.0,0.0,0.0,51.23771095275879,21.6875,17.234375,11.711973667144775,6.90625,34.65625,35.95496463775635,19.2578125,0.0,46.71875,15.171875,23.578125,12.515625,9.625,25.8359375,24.671875,7.364583492279053,3.3359375,43.4375,0.0
2000-03-22,25.15032434463501,9.671875,0.0,62.1875,1.9833987355232239,0.0,0.0,0.0,0.0,50.76328659057617,21.21875,17.3125,11.579845905303955,6.578125,33.75,35.34209442138672,18.9609375,0.0,45.78125,15.578125,23.390625,12.4140625,9.609375,25.3984375,24.734375,7.281249761581421,3.44140625,43.40625,0.0
2000-03-23,25.97421360015869,9.265625,0.0,63.09375,1.9970704913139343,0.0,0.0,0.0,0.0,50.19990921020508,21.171875,16.921875,11.427390336990356,6.6015625,33.859375,36.18843650817871,19.03125,0.0,46.359375,15.421875,22.9375,12.41796875,9.625,24.859375,25.2109375,7.338541746139526,3.4394532442092896,44.109375,0.0
2000-03-24,26.26329803466797,9.296875,0.0,61.890625,2.007812738418579,0.0,0.0,0.0,0.0,50.94119644165039,21.5390625,17.03125,11.610337257385254,6.8203125,34.125,36.75752925872803,18.9921875,0.0,46.015625,15.234375,23.296875,12.35546875,9.6875,25.28125,25.8828125,7.46875,3.3984375,44.71875,0.0
2000-03-27,26.10430145263672,9.3515625,0.0,59.453125,2.0019532442092896,0.0,0.0,0.0,0.0,51.297014236450195,22.015625,17.2578125,11.518863677978516,6.6953125,33.453125,36.77212142944336,19.328125,0.0,45.59375,15.09375,22.84375,12.203125,9.84375,24.9296875,25.421875,7.380208253860474,3.33203125,44.203125,0.0
2000-03-28,26.08984661102295,9.1875,0.0,58.234375,2.002929985523224,0.0,0.0,0.0,0.0,52.08277702331543,22.15625,17.3984375,11.66793155670166,6.8046875,33.078125,35.91118812561035,19.4296875,0.0,45.578125,15.0625,22.71875,12.03125,9.859375,24.8671875,25.078125,7.359375,3.1621094942092896,44.375,0.0
2000-03-29,26.060938835144043,9.015625,0.0,58.34375,1.9912112355232239,0.0,0.0,0.0,0.0,51.504573822021484,22.140625,17.3828125,11.972842693328857,6.4765625,33.375,35.33115100860596,19.8515625,0.0,44.828125,14.75,22.609375,12.02734375,9.84375,24.8828125,24.8046875,7.40625,2.9667969942092896,44.625,0.0
2000-03-30,26.49456548690796,9.296875,0.0,60.171875,2.0205082297325134,0.0,0.0,0.0,0.0,53.78032398223877,22.5390625,17.9765625,12.196444034576416,6.2109375,33.984375,36.85967445373535,20.53125,0.0,45.40625,14.8125,22.453125,12.109375,9.890625,26.109375,26.03125,7.307291746139526,2.9140625,45.375,0.0
2000-03-31,26.76919460296631,10.0234375,0.0,61.078125,2.0888672471046448,0.0,0.0,0.0,0.0,55.02568435668945,22.9765625,18.3125,12.325184106826782,6.109375,34.546875,39.238189697265625,20.765625,0.0,46.4375,15.015625,22.53125,12.328125,10.140625,26.328125,26.7578125,7.385416746139526,2.90625,45.625,0.0
2000-04-03,27.289546966552734,10.09375,0.0,59.984375,2.186523735523224,0.0,0.0,0.0,0.0,56.13020038604736,23.6015625,18.4921875,12.372614860534668,6.046875,35.484375,40.449334144592285,20.7421875,0.0,47.171875,14.9375,22.421875,12.29296875,10.28125,26.1015625,27.4609375,7.380208492279053,2.86328125,46.375,0.0
2000-04-04,27.723173141479492,10.015625,0.0,59.1875,2.1669922471046448,0.0,0.0,0.0,0.0,56.8492488861084,23.84375,18.5390625,12.48780369758606,6.0546875,35.703125,39.12145233154297,20.94921875,0.0,45.84375,14.859375,23.015625,12.23046875,10.203125,27.0234375,27.4140625,7.328125238418579,2.8847657442092896,46.375,0.0
2000-04-05,27.737627029418945,9.9375,0.0,59.015625,2.1816407442092896,0.0,0.0,0.0,0.0,55.55199718475342,23.7109375,18.671875,12.440372943878174,6.0078125,35.5625,38.26051712036133,20.59375,0.0,45.390625,14.4375,23.4375,12.0625,10.109375,26.734375,27.2578125,7.604166746139526,2.88671875,46.5625,0.0
