,APA,BKR,CVX,COP,CTRA,DVN,FANG,EOG,EQT,XOM,HAL,HES,KMI,MRO,MPC,OXY,OKE,PSX,PXD,SLB,TRGP,VLO,WMB
2017-08-28,39.60249996185303,33.1850004196167,108.03999900817871,43.24499988555908,24.760000228881836,30.985000133514404,87.95749855041504,83.60499954223633,33.07022285461426,76.64250183105469,38.829999923706055,38.24499988555908,19.09499979019165,10.975000143051147,52.46250057220459,59.18000030517578,53.22499942779541,83.96999931335449,128.1100025177002,63.59250068664551,43.73750019073486,68.83749961853027,29.257500171661377
2017-08-29,38.82249927520752,33.4399995803833,107.59500122070312,42.7475004196167,24.644999980926514,30.735000133514404,87.83250045776367,82.75,33.09335803985596,76.30749893188477,38.62750053405762,37.90750026702881,18.96750020980835,10.832500219345093,51.80999946594238,58.9975004196167,52.9350004196167,83.55999946594238,127.16500091552734,63.297499656677246,43.13249969482422,68.21999931335449,29.03749990463257
2017-08-30,38.63499927520752,33.519999504089355,107.5625,42.989999771118164,24.757500171661377,30.855000019073486,88.21750068664551,83.22249984741211,33.32335376739502,76.21249771118164,38.67500019073486,38.00749969482422,19.052499771118164,10.820000171661377,51.94250011444092,58.98749923706055,53.484999656677246,83.4474983215332,128.27499961853027,63.40499973297119,43.38000011444092,68.47000122070312,29.105000019073486
2017-08-31,38.63249969482422,33.92500019073486,107.8375015258789,43.77750015258789,25.199999809265137,31.375,89.86750030517578,84.44499969482422,33.88677215576172,76.28499984741211,38.90500068664551,38.78750038146973,19.237499713897705,11.087499856948853,52.46500015258789,59.59000110626221,54.17000102996826,83.72000122070312,129.66749954223633,63.51249885559082,44.214999198913574,68.19499969482422,29.457499980926514
2017-09-01,39.19999980926514,34.109999656677246,108.27750205993652,43.96749973297119,26.230000019073486,31.777499675750732,91.32999992370605,85.27499961853027,33.91671180725098,76.52750015258789,39.000000953674316,39.13999938964844,19.30750036239624,11.207500219345093,53.41249942779541,59.65999889373779,54.477500915527344,84.0250015258789,130.27249908447266,63.359999656677246,44.52250099182129,68.65999984741211,29.932499408721924
2017-09-05,39.59500026702881,34.935001373291016,109.44000053405762,44.42500019073486,26.81749963760376,32.230000019073486,92.3799991607666,85.9325008392334,34.1888952255249,76.94750022888184,39.63000011444092,39.85000038146973,19.394999980926514,11.332499980926514,52.38750076293945,60.36000061035156,54.97000026702881,83.65500068664551,131.49750137329102,64.29499912261963,44.727500915527344,68.11249923706055,30.144999980926514
2017-09-06,40.00749969482422,35.14750099182129,110.95500183105469,44.97249984741211,26.954999446868896,32.62750053405762,92.71750068664551,87.25,34.29640579223633,78.36750030517578,40.64999961853027,40.67500114440918,19.272499561309814,11.572499752044678,52.017499923706055,61.35749912261963,55.72000026702881,83.53249931335449,132.84750366210938,65.63249969482422,45.50250053405762,68.20499992370605,30.235000133514404
2017-09-07,40.374999046325684,34.765000343322754,112.0525016784668,44.917500495910645,26.764999866485596,32.420000076293945,91.53250122070312,88.12249946594238,33.93304252624512,78.99749946594238,41.10249996185303,41.045000076293945,19.235000133514404,11.71749997138977,52.67500019073486,61.71500015258789,56.41499996185303,83.70750045776367,132.12499618530273,65.77000045776367,45.57499980926514,68.60000038146973,29.81749963760376
2017-09-08,39.767499923706055,34.55749988555908,111.1624984741211,44.642499923706055,26.25,31.75999927520752,89.71000099182129,87.20000076293945,33.11785411834717,78.875,40.66250038146973,40.69000053405762,19.09250020980835,11.47000002861023,53.07749938964844,60.43249988555908,56.3100004196167,84.44999885559082,129.6399974822998,65.22000122070312,45.24499988555908,69.35250091552734,29.71999979019165
2017-09-11,39.667500495910645,34.992499351501465,112.10999870300293,44.84500026702881,26.070000648498535,31.72749948501587,89.1349983215332,87.37750053405762,33.10696792602539,79.2450008392334,40.50500011444092,40.65750026702881,19.352499961853027,11.397500038146973,53.41499996185303,60.38999938964844,56.5625,84.98500061035156,129.3425006866455,65.45750045776367,45.43499946594238,69.58749961853027,30.027499675750732
2017-09-12,40.28999996185303,35.7450008392334,112.52999877929688,45.010000228881836,26.234999656677246,32.10249948501587,90.20499992370605,88.125,33.60098075866699,79.45750045776367,40.974998474121094,41.27250003814697,19.410000324249268,11.575000047683716,53.945000648498535,60.59749889373779,56.28249931335449,85.46249961853027,130.0800018310547,66.03750038146973,46.01249980926514,70.17250061035156,30.277499675750732
2017-09-13,41.527499198913574,36.16499996185303,113.3174991607666,45.347500801086426,26.449999809265137,32.92500019073486,92.31249809265135,90.14999961853027,34.21475124359131,79.6049976348877,41.66749954223633,41.90250110626221,19.392500400543213,11.812499761581421,53.5,61.28999996185303,56.31750011444092,86.05499839782715,133.0999984741211,66.83499908447266,46.885000228881836,70.74250030517578,30.362499713897705
2017-09-14,42.21500015258789,36.517499923706055,114.55749893188477,45.89500141143799,26.644999980926514,33.95000076293945,94.17499923706055,91.8499984741211,35.09934711456299,79.98499870300293,42.21500015258789,42.30500030517578,19.40499973297119,11.982500076293945,52.812500953674316,61.77250099182129,56.71500015258789,86.28249931335449,136.95499801635742,67.55749893188477,47.614999771118164,70.35750007629395,30.47499990463257
2017-09-15,42.33250045776367,36.63749980926514,114.49999999999999,46.15749931335449,26.702499866485596,33.767499923706055,93.89500045776367,92.70000076293945,35.225911140441895,79.98750114440918,42.15000057220459,41.98750019073486,19.34999990463257,11.96749997138977,52.67499923706055,61.46750068664551,56.58749961853027,87.02000045776367,136.7125015258789,67.39500045776367,47.447500228881836,70.6500015258789,30.40999984741211
