,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,CEG,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2000-02-03,40.2265625,14.65625,32.875,34.234375,0.0,17.625,19.8236722946167,21.625,32.75,0.0,21.0625,28.976064205169678,49.166507720947266,29.125,25.296875,16.484375,20.375,15.251649379730225,22.859375,5.281250238418579,7.484037399291992,0.0,22.484375,31.46875,10.791142225265503,17.1171875,18.984375,15.18659257888794,10.3203125,19.421875
2000-02-04,38.59375,14.6015625,32.46875,34.453125,0.0,17.640625,19.902703762054443,21.09375,32.390625,0.0,20.8359375,28.73670196533203,47.62750053405762,28.859375,25.234375,16.53125,20.3125,15.413248777389526,22.59375,5.2636719942092896,7.484037518501282,0.0,22.46875,31.203125,10.631057977676392,16.9765625,18.984375,15.10068416595459,10.2578125,19.421875
2000-02-07,39.25,14.4921875,31.8125,33.8125,0.0,17.546875,19.441688060760498,20.328125,31.953125,0.0,20.5625,28.11170196533203,46.72861194610596,28.1875,24.828125,16.625,20.109375,15.112339735031128,22.09375,5.218750238418579,7.263015985488892,0.0,22.203125,30.71875,10.441867113113403,16.703125,19.046875,14.833415746688843,10.03125,19.171875
2000-02-08,41.5390625,14.5625,31.953125,33.25,0.0,17.375,19.468031883239746,20.40625,31.421875,0.0,20.4453125,28.164893627166748,46.78308963775635,27.96875,24.71875,16.65625,20.140625,15.067760467529297,22.109375,5.242187738418579,7.084970593452454,0.0,22.171875,30.796875,10.4636971950531,16.765625,19.046875,14.947959661483765,10.078125,19.078125
2000-02-09,42.5,14.6015625,32.015625,32.890625,0.0,17.4375,19.57340717315674,20.109375,31.46875,0.0,20.3828125,27.898935317993164,45.48923397064209,27.859375,24.25,16.5,20.234375,15.168063640594482,22.234375,5.179687738418579,7.084970831871033,0.0,22.15625,30.84375,10.289059162139893,16.6171875,18.9375,14.881142616271973,10.03125,19.21875
2000-02-10,42.0,14.765625,31.375,32.046875,0.0,17.328125,19.57340669631958,19.171875,31.6875,0.0,20.53125,27.526596069335938,44.998931884765625,27.765625,23.71875,16.21875,20.015625,15.03432583808899,22.140625,5.099609732627869,6.949901819229126,0.0,21.703125,30.640625,10.259952783584595,16.4375,18.8125,14.919323682785034,9.75,18.96875
2000-02-11,40.8515625,14.984375,31.125,31.671875,0.0,16.484375,19.151906967163086,18.578125,32.015625,0.0,20.25,27.566489696502686,44.712921142578125,27.78125,23.15625,16.0625,19.640625,14.822574853897095,21.859375,5.0800782442092896,6.894646525382996,0.0,21.46875,30.375,10.165357828140259,16.2890625,18.765625,14.928868770599365,9.5703125,18.8125
2000-02-14,41.8203125,15.2109375,31.21875,31.890625,0.0,16.484375,18.862125396728516,18.984375,31.484375,0.0,20.1953125,27.9255313873291,44.99893093109131,27.90625,23.328125,15.984375,19.421875,14.68883752822876,21.640625,5.1015625,6.888506889343262,0.0,21.765625,30.421875,10.28178334236145,16.3828125,18.84375,14.919323921203613,9.4765625,18.78125
2000-02-15,43.0234375,15.46875,31.171875,31.546875,0.0,17.328125,18.690890789031982,19.46875,31.171875,0.0,20.3046875,28.018616676330566,44.576725006103516,28.0,23.09375,15.734375,19.28125,14.6108238697052,21.6875,5.093750238418579,6.925343990325928,0.0,21.96875,30.296875,10.47825026512146,16.1875,18.84375,14.871596813201904,9.46875,18.5
2000-02-16,43.6796875,15.6015625,30.984375,30.953125,0.0,17.609375,18.480140686035156,18.90625,30.78125,0.0,20.3515625,27.952127933502197,44.38605308532715,28.234375,22.546875,15.78125,18.96875,14.471513748168945,21.640625,5.121093988418579,6.870088458061218,0.0,21.859375,29.96875,10.347271919250488,16.0703125,18.890625,14.70932650566101,9.4140625,18.578125
